USER_ID	REPORT_ID	STATUS	QUANTITY	SEX	PHASE	METHOD	END
30574514	15084623	1	3	w	5	ld	dream
30609956	15084906	1	2	m	6	NA	force
30594163	15095766	2	1	w	2	ld	force
30495492	15115824	2	4	m	1	direct	force
30377171	15124988	2	6	w	5	NA	force
30496161	15154407	2	6	m	4	indirect	force
30593885	15154666	2	4	w	4	indirect	NA
30503052	15156598	2	2	m	5	indirect	fake
30530249	15180051	2	2	w	5	indirect	force
30673325	15188620	2	2	w	5	ld	force
30490270	15196435	2	3	m	5	direct	force
30493728	15212073	1	3	w	6	indirect	force
30494905	15221086	2	5	m	4	direct	force
30466440	15229547	2	6	w	1	ld	force
30705985	15232678	2	9	w	4	direct	force
30526186	15248689	1	7	w	6	direct	force
30494952	15251574	1	4	m	3	indirect	force
30508756	15284542	2	6	m	5	ld	fake
30500874	15290532	1	2	m	3	indirect	dream
30953372	15329341	2	3	w	5	direct	force
30497908	15334739	1	6	w	NA	ld	NA
30717154	15363664	2	6	m	3	direct	force
30700134	15396152	2	4	m	4	ld	dream
31001475	15405757	2	4	m	4	indirect	force
30668892	15406341	2	4	m	4	indirect	dream
30509523	15411813	2	2	m	5	ld	force
30773480	15433419	2	5	w	4	indirect	NA
30594114	15433539	2	1	m	5	ld	force
30543778	15450852	2	6	m	4	indirect	dream
30790809	15464003	2	9	m	2	direct	force
30593581	15464511	2	6	m	5	indirect	force
30507894	15465301	2	2	w	2	ld	fake
30999864	15465570	2	3	m	5	ld	force
30999864	15465570	2	3	m	5	ld	force
30655778	15504317	2	7	w	3	indirect	force
30466860	15512501	2	3	m	5	ld	dream
30494747	15514092	2	5	w	6	ld	force
30597892	15517490	2	2	m	5	direct	force
30494559	15536135	2	3	m	3	ld	force
30632439	15555406	1	7	w	4	ld	force
30715863	15560787	2	5	m	5	NA	NA
30974401	15572331	1	9	w	4	ld	fake
30562217	15572892	2	5	w	5	ld	dream
30562217	15572892	2	3	w	5	indirect	NA
30975981	15573374	2	4	w	5	indirect	force
31045639	15585222	2	4	w	3	indirect	force
30962006	15587770	2	3	m	5	indirect	force
31023044	15588210	1	5	m	3	direct	dream
31327384	15589113	2	2	m	6	ld	force
30502265	15617225	1	2	m	4	ld	force
30967746	15625691	2	5	m	5	ld	dream
31507464	15662480	1	3	m	3	direct	force
30956967	15672305	2	2	m	5	ld	force
29925361	15676749	2	3	m	4	ld	dream
31127058	15681950	2	6	w	6	ld	force
31492154	15690849	2	6	w	6	ld	force
30497099	15694101	2	3	m	4	indirect	force
31504436	15695139	2	2	m	5	ld	force
31399541	15717652	2	4	m	5	indirect	force
31603689	15718198	2	3	m	4	ld	force
30502263	15718345	2	3	m	4	indirect	force
31498349	15719196	2	2	w	4	indirect	dream
31496972	15722498	2	2	m	NA	ld	force
